1;MEDELLIN;5;170
2;ABEJORRAL;5;170
4;ABRIAQUI;5;170
21;ALEJANDRIA;5;170
30;AMAGA;5;170
31;AMALFI;5;170
34;ANDES;5;170
36;ANGELOPOLIS;5;170
38;ANGOSTURA;5;170
40;ANORI;5;170
42;ANTIOQUIA;5;170
44;ANZA;5;170
45;APARTADO;5;170
51;ARBOLETES;5;170
55;ARGELIA;5;170
59;ARMENIA;5;170
79;BARBOSA;5;170
86;BELMIRA;5;170
88;BELLO;5;170
91;BETANIA;5;170
93;BETULIA;5;170
101;BOLIVAR;5;170
107;BRICEÑO;5;170
113;BURITICA;5;170
120;CACERES;5;170
125;CAICEDO;5;170
129;CALDAS;5;170
134;CAMPAMENTO;5;170
138;CAÑASGORDAS;5;170
142;CARACOLI;5;170
145;CARAMANTA;5;170
147;CAREPA;5;170
148;CARMEN DE VIBORAL;5;170
150;CAROLINA;5;170
154;CAUCASIA;5;170
172;CHIGORODO;5;170
190;CISNEROS;5;170
197;COCORNA;5;170
206;CONCEPCION;5;170
209;CONCORDIA;5;170
212;COPACABANA;5;170
234;DABEIBA;5;170
237;DON MATIAS;5;170
240;EBEJICO;5;170
250;EL BAGRE;5;170
264;ENTRERRIOS;5;170
266;ENVIGADO;5;170
282;FREDONIA;5;170
284;FRONTINO;5;170
306;GIRALDO;5;170
308;GIRARDOTA;5;170
310;GOMEZ PLATA;5;170
313;GRANADA;5;170
315;GUADALUPE;5;170
318;GUARNE;5;170
321;GUATAPE;5;170
347;HELICONIA;5;170
353;HISPANIA;5;170
360;ITAGUI;5;170
361;ITUANGO;5;170
364;JARDIN;5;170
368;JERICO;5;170
376;LA CEJA;5;170
380;LA ESTRELLA;5;170
390;LA PINTADA;5;170
400;LA UNION;5;170
411;LIBORINA;5;170
425;MACEO;5;170
440;MARINILLA;5;170
467;MONTEBELLO;5;170
475;MURINDO;5;170
480;MUTATA;5;170
483;NARIÑO;5;170
490;NECOCLI;5;170
495;NECHI;5;170
501;OLAYA;5;170
541;PEÑOL;5;170
543;PEQUE;5;170
576;PUEBLORRICO;5;170
579;PUERTO BERRIO;5;170
585;"PUERTO NARE (LA
MAGDALENA)";5;170
591;PUERTO TRIUNFO;5;170
604;REMEDIOS;5;170
607;RETIRO;5;170
615;RIONEGRO;5;170
628;SABANALARGA;5;170
631;SABANETA;5;170
642;SALGAR;5;170
647;SAN ANDRES;5;170
649;SAN CARLOS;5;170
652;SAN FRANCISCO;5;170
656;SAN JERONIMO;5;170
658;SAN JOSE DE LA MONTAÑA;5;170
659;SAN JUAN DE URABA;5;170
660;SAN LUIS;5;170
664;SAN PEDRO;5;170
665;SAN PEDRO DE URABA;5;170
667;SAN RAFAEL;5;170
670;SAN ROQUE;5;170
674;SAN VICENTE;5;170
679;SANTA BARBARA;5;170
686;SANTA ROSA DE OSOS;5;170
690;SANTO DOMINGO;5;170
697;SANTUARIO;5;170
736;SEGOVIA;5;170
756;SONSON;5;170
761;SOPETRAN;5;170
789;TAMESIS;5;170
790;TARAZA;5;170
792;TARSO;5;170
809;TITIRIBI;5;170
819;TOLEDO;5;170
837;TURBO;5;170
842;URAMITA;5;170
847;URRAO;5;170
854;VALDIVIA;5;170
856;VALPARAISO;5;170
858;VEGACHI;5;170
861;VENECIA;5;170
873;VIGIA DEL FUERTE;5;170
885;YALI;5;170
887;YARUMAL;5;170
890;YOLOMBO;5;170
893;YONDO;5;170
895;ZARAGOZA;5;170
1;BARRANQUILLA;8;170
78;BARANOA;8;170
137;CAMPO DE LA CRUZ;8;170
141;CANDELARIA;8;170
296;GALAPA;8;170
372;JUAN DE ACOSTA;8;170
421;LURUACO;8;170
433;MALAMBO;8;170
436;MANATI;8;170
520;PALMAR DE VARELA;8;170
