"odr_id","line_item_id","ctg_pdt_id","pdt_id","quantity","unit_price","subtotal","discount_value"
1,1,9,69,2.14,0,0,0
1,2,2,250,3.89,0,0,0
2,3,7,213,3.63,0,0,0
2,4,17,163,4.63,0,0,0
3,5,4,93,4.49,0,0,0
3,6,7,225,2.33,0,0,0
4,7,18,60,3.33,0,0,0
4,8,3,235,1.57,0,0,0
5,9,3,182,2.4,0,0,0
5,10,16,6,4.87,0,0,0
6,11,2,243,3.79,0,0,0
6,12,16,190,2.57,0,0,0
7,13,16,118,3.38,0,0,0
7,14,4,184,4.75,0,0,0
8,15,18,129,2.24,0,0,0
8,16,16,80,2.51,0,0,0
9,17,12,186,4.17,0,0,0
9,18,9,53,4.25,0,0,0
10,19,4,29,3.68,0,0,0
10,20,2,75,4.32,0,0,0
11,21,8,226,3.96,0,0,0
11,22,8,36,3.74,0,0,0
12,23,5,97,3.11,0,0,0
12,24,9,188,3.58,0,0,0
13,25,8,122,2.69,0,0,0
13,26,18,121,2.45,0,0,0
14,27,4,247,2.45,0,0,0
14,28,5,240,1.72,0,0,0
15,29,6,40,1.86,0,0,0
15,30,1,223,4.79,0,0,0
16,31,12,227,2.95,0,0,0
16,32,8,46,1.91,0,0,0
17,33,15,64,1.55,0,0,0
17,34,17,210,1.31,0,0,0
18,35,7,162,4.38,0,0,0
18,36,5,230,1.4,0,0,0
19,37,5,41,4.08,0,0,0
19,38,16,33,4.34,0,0,0
20,39,5,20,4.53,0,0,0
20,40,16,249,1.15,0,0,0
21,41,2,207,2.35,0,0,0
21,42,16,21,4.07,0,0,0
22,43,16,95,1.52,0,0,0
22,44,3,104,2.51,0,0,0
23,45,6,35,1.65,0,0,0
23,46,5,112,4.33,0,0,0
24,47,15,37,4.08,0,0,0
24,48,1,13,4.24,0,0,0
25,49,6,31,1.66,0,0,0
25,50,7,2,2.75,0,0,0
26,51,17,229,2.64,0,0,0
26,52,8,87,3.71,0,0,0
27,53,17,114,1.95,0,0,0
27,54,11,150,2.78,0,0,0
28,55,18,173,2.14,0,0,0
28,56,12,119,3.99,0,0,0
29,57,11,120,2.8,0,0,0
29,58,5,30,3.14,0,0,0
30,59,5,18,2.24,0,0,0
30,60,16,132,4.23,0,0,0
31,61,16,183,2.88,0,0,0
31,62,5,152,4.34,0,0,0
32,63,16,174,2.47,0,0,0
32,64,12,191,4.79,0,0,0
33,65,17,49,4.94,0,0,0
33,66,5,199,2.85,0,0,0
34,67,1,42,2.13,0,0,0
34,68,11,170,2.53,0,0,0
35,69,4,140,3.11,0,0,0
35,70,15,71,4.87,0,0,0
36,71,13,91,4.27,0,0,0
36,72,5,233,4.21,0,0,0
37,73,15,178,1.55,0,0,0
37,74,1,189,2.0,0,0,0
38,75,2,181,3.56,0,0,0
38,76,11,61,4.5,0,0,0
39,77,7,90,3.22,0,0,0
39,78,11,241,1.41,0,0,0
40,79,12,201,4.38,0,0,0
40,80,12,209,4.4,0,0,0
41,81,7,92,2.14,0,0,0
41,82,18,16,4.05,0,0,0
42,83,5,161,2.09,0,0,0
42,84,6,23,4.62,0,0,0
43,85,1,58,1.59,0,0,0
43,86,4,216,2.75,0,0,0
44,87,2,57,4.79,0,0,0
44,88,6,109,1.89,0,0,0
45,89,4,86,2.8,0,0,0
45,90,17,55,2.4,0,0,0
46,91,16,134,1.11,0,0,0
46,92,5,179,1.21,0,0,0
47,93,15,101,3.01,0,0,0
47,94,2,124,1.94,0,0,0
48,95,18,44,4.98,0,0,0
48,96,15,19,2.5,0,0,0
49,97,9,7,1.11,0,0,0
49,98,5,187,4.72,0,0,0
50,99,13,108,4.36,0,0,0
50,100,3,50,3.6,0,0,0
51,101,9,69,4.17,0,0,0
51,102,2,250,1.55,0,0,0
52,103,7,213,2.15,0,0,0
52,104,17,163,4.32,0,0,0
53,105,4,93,3.78,0,0,0
53,106,7,225,1.56,0,0,0
54,107,18,60,3.82,0,0,0
54,108,3,235,2.79,0,0,0
55,109,3,182,1.02,0,0,0
55,110,16,6,1.32,0,0,0
56,111,2,243,2.02,0,0,0
56,112,16,190,4.34,0,0,0
57,113,16,118,3.2,0,0,0
57,114,4,184,3.91,0,0,0
58,115,18,129,3.11,0,0,0
58,116,16,80,1.44,0,0,0
59,117,12,186,2.15,0,0,0
59,118,9,53,2.2,0,0,0
60,119,4,29,1.19,0,0,0
60,120,2,75,2.68,0,0,0
61,121,8,226,4.18,0,0,0
61,122,8,36,2.83,0,0,0
62,123,5,97,1.44,0,0,0
62,124,9,188,4.62,0,0,0
63,125,8,122,3.39,0,0,0
63,126,18,121,1.07,0,0,0
64,127,4,247,3.06,0,0,0
64,128,5,240,1.97,0,0,0
65,129,6,40,1.57,0,0,0
65,130,1,223,2.72,0,0,0
66,131,12,227,3.46,0,0,0
66,132,8,46,1.96,0,0,0
67,133,15,64,2.67,0,0,0
67,134,17,210,3.66,0,0,0
68,135,7,162,1.34,0,0,0
68,136,5,230,4.9,0,0,0
69,137,5,41,1.27,0,0,0
69,138,16,33,3.1,0,0,0
70,139,5,20,3.03,0,0,0
70,140,16,249,4.95,0,0,0
71,141,2,207,3.22,0,0,0
71,142,16,21,2.56,0,0,0
72,143,16,95,2.88,0,0,0
72,144,3,104,3.54,0,0,0
73,145,6,35,4.92,0,0,0
73,146,5,112,2.01,0,0,0
74,147,15,37,1.06,0,0,0
74,148,1,13,4.15,0,0,0
75,149,6,31,2.38,0,0,0
75,150,7,2,3.93,0,0,0
76,151,17,229,3.51,0,0,0
76,152,8,87,4.09,0,0,0
77,153,17,114,3.94,0,0,0
77,154,11,150,2.33,0,0,0
78,155,18,173,1.18,0,0,0
78,156,12,119,3.18,0,0,0
79,157,11,120,4.25,0,0,0
79,158,5,30,1.7,0,0,0
80,159,5,18,4.12,0,0,0
80,160,16,132,2.86,0,0,0
81,161,16,183,3.78,0,0,0
81,162,5,152,3.53,0,0,0
82,163,16,174,4.25,0,0,0
82,164,12,191,1.25,0,0,0
83,165,17,49,4.1,0,0,0
83,166,5,199,2.83,0,0,0
84,167,1,42,2.17,0,0,0
84,168,11,170,1.18,0,0,0
85,169,4,140,1.8,0,0,0
85,170,15,71,1.17,0,0,0
86,171,13,91,4.73,0,0,0
86,172,5,233,3.06,0,0,0
87,173,15,178,4.96,0,0,0
87,174,1,189,3.17,0,0,0
88,175,2,181,2.01,0,0,0
88,176,11,61,4.01,0,0,0
89,177,7,90,1.76,0,0,0
89,178,11,241,2.43,0,0,0
90,179,12,201,4.12,0,0,0
90,180,12,209,4.46,0,0,0
91,181,7,92,2.33,0,0,0
91,182,18,16,1.5,0,0,0
92,183,5,161,2.47,0,0,0
92,184,6,23,4.56,0,0,0
93,185,1,58,3.97,0,0,0
93,186,4,216,4.58,0,0,0
94,187,2,57,2.55,0,0,0
94,188,6,109,4.89,0,0,0
95,189,4,86,2.98,0,0,0
95,190,17,55,2.99,0,0,0
96,191,16,134,4.7,0,0,0
96,192,5,179,3.08,0,0,0
97,193,15,101,4.2,0,0,0
97,194,2,124,3.91,0,0,0
98,195,18,44,1.32,0,0,0
98,196,15,19,3.41,0,0,0
99,197,9,7,4.29,0,0,0
99,198,5,187,3.18,0,0,0
100,199,13,108,2.28,0,0,0
100,200,3,50,1.32,0,0,0
101,201,9,69,3.64,0,0,0
101,202,2,250,2.23,0,0,0
102,203,7,213,3.41,0,0,0
102,204,17,163,2.7,0,0,0
103,205,4,93,3.76,0,0,0
103,206,7,225,2.41,0,0,0
104,207,18,60,1.17,0,0,0
104,208,3,235,4.48,0,0,0
105,209,3,182,2.41,0,0,0
105,210,16,6,4.99,0,0,0
106,211,2,243,2.1,0,0,0
106,212,16,190,4.92,0,0,0
107,213,16,118,4.79,0,0,0
107,214,4,184,1.3,0,0,0
108,215,18,129,3.55,0,0,0
108,216,16,80,2.45,0,0,0
109,217,12,186,4.2,0,0,0
109,218,9,53,3.72,0,0,0
110,219,4,29,4.81,0,0,0
110,220,2,75,1.57,0,0,0
111,221,8,226,3.43,0,0,0
111,222,8,36,4.13,0,0,0
112,223,5,97,1.14,0,0,0
112,224,9,188,1.27,0,0,0
113,225,8,122,4.11,0,0,0
113,226,18,121,2.47,0,0,0
114,227,4,247,2.53,0,0,0
114,228,5,240,3.27,0,0,0
115,229,6,40,3.42,0,0,0
115,230,1,223,3.72,0,0,0
116,231,12,227,4.8,0,0,0
116,232,8,46,2.49,0,0,0
117,233,15,64,4.05,0,0,0
117,234,17,210,3.3,0,0,0
118,235,7,162,3.12,0,0,0
