4;AFGANISTAN
248;ALAND ISLANDS
8;ALBANIA
276;ALEMANIA
20;ANDORRA
24;ANGOLA
660;ANGUILA
10;ANTARTIDA
28;ANTIGUA Y BARBUDA
530;ANTILLAS NEERLANDESAS
682;ARABIA SAUDITA
12;ARGELIA
32;ARGENTINA
51;ARMENIA
533;ARUBA
36;AUSTRALIA
40;AUSTRIA
31;AZERBAIYAN
44;BAHAMAS
48;BAHREIN
50;BANGLADESH
52;BARBADOS
112;BELARUS
56;BELGICA
58;BELGICA-LUXEMBURGO
84;BELICE
204;BENIN
60;BERMUDAS
64;BHUTAN
68;BOLIVIA
535;BONAIRE
70;BOSNIA Y HERZEGOVINA
72;BOTSWANA
76;BRASIL
96;BRUNEI DARUSSALAM
100;BULGARIA
854;BURKINA FASO
108;BURUNDI
132;CABO VERDE
116;CAMBOYA
120;CAMERUN
124;CANADA
839;CATEGORIAS ESPECIALES
148;CHAD
200;CHECOSLOVAQUIA
152;CHILE
156;CHINA
196;CHIPRE
170;COLOMBIA
849;COMANDO I DEL PACIFICO DE ESTADOS UNIDOS
174;COMORAS
178;CONGO, REP. DEL
180;CONGO, REP. DEM. DEL
410;COREA, REP. DE
408;COREA, REP. DEM. DE
188;COSTA RICA
384;COTE D'IVOIRE
191;CROACIA
192;CUBA
531;CURACAO
208;DINAMARCA
262;DJIBOUTI
212;DOMINICA
218;ECUADOR
818;EGIPTO, REP. ARABE DE
222;EL SALVADOR
784;EMIRATOS ARABES UNIDOS
232;ERITREA
705;ESLOVENIA
724;ESPANA
840;ESTADOS UNIDOS
233;ESTONIA
231;ETIOPIA (EXCLUIDA ERITREA)
230;ETIOPIA (INCLUIDA ERITREA)
918;EUROPEAN UNION
736;EX SUDAN
643;FEDERACION DE RUSIA
242;FIJI
608;FILIPINAS
246;FINLANDIA
592;FM PANAMA CZ
717;FM RHOD NYAS
835;FM TANGANYIK
866;FM VIETNAM DR
868;FM VIETNAM RP
836;FM ZANZ-PEMB
250;FRANCIA
266;GABON
270;GAMBIA
274;GAZA STRIP
268;GEORGIA
288;GHANA
292;GIBRALTAR
308;GRANADA
300;GRECIA
304;GROENLANDIA
312;GUADALUPE
316;GUAM
320;GUATEMALA
254;GUAYANA FRANCESA
324;GUINEA
226;GUINEA ECUATORIAL
624;GUINEA-BISSAU
328;GUYANA
332;HAITI
340;HONDURAS
344;HONG KONG (CHINA)
348;HUNGRIA
356;INDIA
360;INDONESIA
364;IRAN, REP. ISLAMICA DEL
368;IRAQ
372;IRLANDA
74;ISLA BOUVET
837;ISLA BUNKER
162;ISLA DE NAVIDAD
574;ISLA NORFOLK
352;ISLANDIA
136;ISLAS CAIMAN
166;ISLAS COCOS (KEELING)
184;ISLAS COOK
582;ISLAS DEL PACIFICO
238;ISLAS FALKLAND
234;ISLAS FEROE
239;ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR
334;ISLAS HEARD Y MCDONALD
584;ISLAS MARSHALL
90;ISLAS SALOMON
796;ISLAS TURCAS Y CAICOS
581;ISLAS ULTRAMARINAS MENORES DE ESTADOS UNIDOS
850;ISLAS VIRGENES (EE.UU.)
92;ISLAS VIRGENES BRITANICAS
876;ISLAS WALLIS Y FUTUNA
376;ISRAEL
380;ITALIA
388;JAMAICA
392;JAPON
396;JHONSTON ISLAND
400;JORDANIA
398;KAZAJSTAN
404;KENYA
417;KIRGUISTAN
296;KIRIBATI
412;KOSOVO
414;KUWAIT
426;LESOTHO
428;LETONIA
422;LIBANO
430;LIBERIA
434;LIBIA
438;LIECHTENSTEIN
440;LITUANIA
442;LUXEMBURGO
446;MACAO
807;MACEDONIA, EX REP. YUGOSLAVA DE
450;MADAGASCAR
458;MALASIA
454;MALAWI
462;MALDIVAS
466;MALI
470;MALTA
580;MARIANA
504;MARRUECOS
474;MARTINICA
480;MAURICIO
478;MAURITANIA
175;MAYOTTE
484;MEXICO
583;MICRONESIA, ESTADOS FED. DE
488;MIDWAY ISLANDS
492;MONACO
496;MONGOLIA
499;MONTENEGRO
500;MONTSERRAT
508;MOZAMBIQUE
